License_Year,name,gender,breed,Zip_Code,ObjectId
2024,DEWEY,MALE,TERRIER WEST HIGHLAND WHITE,01069,1
2024,MERCY,SPAYED,CHIHUAHUA,01601,2
2024,"DON'T STOP"" L'LILDUDE",MALE,CHIHUAHUA,01602,3
2024,ABBEY,SPAYED,POODLE STANDARD,01602,4
2024,ABBIE,FEMALE,RETRIEVER GOLDEN,01602,5
2024,ABBY,SPAYED,RETRIEVER ENGLISH LABRADOR,01602,6
2024,ABBY,SPAYED,TERRIER NORWICH,01602,7
2024,ABBY,SPAYED,SHIH TZU,01602,8
2024,ABBY,FEMALE,POODLE,01602,9
2024,ABBY,SPAYED,SHEPHERD GERMAN,01602,10
2024,ABBY,SPAYED,CHIHUAHUA,01602,11
2024,ADRIAN,SPAYED,PUG,01602,12
2024,AGOO,NEUTERED,CHIHUAHUA,01602,13
